BAIRRO,VALOR,AREA,QUARTOS
SOBRADINHO,1300000.0,350.0,5.0
CRUZEIRO,899000.0,98.0,3.0
LAGO NORTE,1680000.0,320.0,3.0
JARDIM BOTANICO,2850000.0,750.0,6.0
AGUAS CLARAS,590000.0,84.0,2.0
SOBRADINHO,780000.0,180.0,4.0
LAGO NORTE,2400000.0,666.0,5.0
NOROESTE,4400000.0,334.0,4.0
TAGUATINGA,6000000.0,3639.0,25.0
ASA SUL,1495000.0,154.0,4.0
GUARA,529000.0,62.0,3.0
PARK WAY,3400000.0,980.0,5.0
PARK WAY,4500000.0,840.0,5.0
JARDIM BOTANICO,2450000.0,440.0,4.0
JARDIM BOTANICO,1100000.0,295.0,4.0
JARDIM BOTANICO,1100000.0,240.0,3.0
AGUAS CLARAS,385000.0,32.0,1.0
LAGO SUL,2720000.0,400.0,4.0
LAGO NORTE,1897000.0,420.0,4.0
SOBRADINHO,1399000.0,480.0,4.0
AGUAS CLARAS,2990000.0,284.0,4.0
SAMAMBAIA,980000.0,200.0,4.0
NOROESTE,2138184.0,112.0,3.0
AGUAS CLARAS,1100000.0,157.0,3.0
JARDIM BOTANICO,6850000.0,680.0,4.0
TAGUATINGA,1347000.0,350.0,4.0
SOBRADINHO,1890000.0,230.0,4.0
AGUAS CLARAS,1190000.0,164.0,4.0
NOROESTE,455000.0,34.0,1.0
NOROESTE,3250000.0,165.0,3.0
SOBRADINHO,1690000.0,542.0,7.0
LAGO NORTE,2890000.0,500.0,4.0
NOROESTE,4450000.0,247.0,4.0
GUARA,1390000.0,220.0,3.0
AGUAS CLARAS,1250000.0,119.0,4.0
LAGO SUL,15500000.0,700.0,5.0
AGUAS CLARAS,949000.0,101.0,3.0
ASA NORTE,580000.0,31.0,1.0
SOBRADINHO,1270000.0,219.0,3.0
SOBRADINHO,1390000.0,359.0,3.0
NOROESTE,1380000.0,89.0,2.0
ASA NORTE,1475000.0,80.0,2.0
JARDIM BOTANICO,6500000.0,831.0,6.0
PARK WAY,3499000.0,526.0,4.0
SUDOESTE,1299000.0,94.0,3.0
,1290000.0,265.0,4.0
AGUAS CLARAS,1550000.0,132.0,4.0
SOBRADINHO,960000.0,460.0,5.0
LAGO NORTE,2200000.0,510.0,4.0
LAGO SUL,7550000.0,530.0,4.0
SOBRADINHO,2100000.0,350.0,3.0
SOBRADINHO,2300000.0,506.0,4.0
SOBRADINHO,590000.0,110.0,3.0
ASA NORTE,1600000.0,111.0,1.0
LAGO SUL,10800000.0,1000.0,5.0
ASA NORTE,1450000.0,123.0,3.0
NOROESTE,2680000.0,154.0,3.0
PARK SUL,666270.0,60.0,1.0
VICENTE PIRES,1397000.0,350.0,3.0
SOBRADINHO,2395000.0,320.0,3.0
JARDIM BOTANICO,1650000.0,380.0,3.0
AGUAS CLARAS,1250000.0,128.0,3.0
VICENTE PIRES,1190000.0,220.0,4.0
JARDIM BOTANICO,13700000.0,846.0,4.0
LAGO SUL,6980000.0,637.0,5.0
AGUAS CLARAS,525000.0,64.0,2.0
LAGO SUL,4800000.0,680.0,4.0
JARDIM BOTANICO,860000.0,170.0,2.0
ARNIQUEIRA,1480000.0,400.0,4.0
PARK SUL,410000.0,30.0,1.0
SOBRADINHO,929000.0,230.0,4.0
SAMAMBAIA,450000.0,130.0,3.0
GUARA,399000.0,61.0,2.0
LAGO SUL,2990000.0,480.0,4.0
ASA NORTE,830000.0,78.0,3.0
PARK WAY,4400000.0,682.0,4.0
SOBRADINHO,1890000.0,465.0,4.0
NOROESTE,2690000.0,210.0,3.0
NOROESTE,2550000.0,142.0,3.0
AGUAS CLARAS,1900000.0,500.0,4.0
ASA NORTE,280000.0,30.0,1.0
GUARA,400000.0,33.0,1.0
